Stage,Cycle,Instr,Op,Fct3,Fct7,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
Decode,57,sw,35,2,,,7,6,0,,,,,,,,
Execute,58,sw,35,2,,,7,6,0,,1,,,,,,
Memory,59,sw,35,2,,,7,6,0,,,,,,1,,
Write Back,60,sw,35,2,,,7,6,0,,,,,,,,
Fetch,61,,,,,,,,,,,,,,,,
Decode,62,addi,19,0,,7,7,,4,,,,,,,,
Execute,63,addi,19,0,,7,7,,4,,1,,,,,,
Memory,64,addi,19,0,,7,7,,4,,,,,,,,
Write Back,65,addi,19,0,,7,7,,4,1,,,,,,0,
Fetch,66,,,,,,,,,,,,,,,,
Decode,67,addi,19,0,,5,5,,-1,,,,,,,,
Execute,68,addi,19,0,,5,5,,-1,,1,,,,,,
Memory,69,addi,19,0,,5,5,,-1,,,,,,,,
Write Back,70,addi,19,0,,5,5,,-1,1,,,,,,0,
Fetch,71,,,,,,,,,,,,,,,,
Decode,72,bne,99,1,,,5,0,64,,,,,,,,1
Execute,73,bne,99,1,,,5,0,64,,0,,,,,,
Memory,74,bne,99,1,,,5,0,64,,,,,,,,
Write Back,75,bne,99,1,,,5,0,64,,,,,,,,
Fetch,76,,,,,,,,,,,,,,,,
Decode,77,lw,3,2,,6,7,,0,,,,,,,,
Execute,78,lw,3,2,,6,7,,0,,1,,,,,,
Memory,79,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,80,lw,3,2,,6,7,,0,1,,,,,,1,
Fetch,81,,,,,,,,,,,,,,,,
Decode,82,addi,19,0,,6,6,,1,,,,,,,,
Execute,83,addi,19,0,,6,6,,1,,1,,,,,,
Memory,84,addi,19,0,,6,6,,1,,,,,,,,
Write Back,85,addi,19,0,,6,6,,1,1,,,,,,0,
Fetch,86,,,,,,,,,,,,,,,,
Decode,87,sw,35,2,,,7,6,0,,,,,,,,
Execute,88,sw,35,2,,,7,6,0,,1,,,,,,
Memory,89,sw,35,2,,,7,6,0,,,,,,1,,
Write Back,90,sw,35,2,,,7,6,0,,,,,,,,
Fetch,91,,,,,,,,,,,,,,,,
Decode,92,addi,19,0,,7,7,,4,,,,,,,,
Execute,93,addi,19,0,,7,7,,4,,1,,,,,,
Memory,94,addi,19,0,,7,7,,4,,,,,,,,
Write Back,95,addi,19,0,,7,7,,4,1,,,,,,0,
Fetch,96,,,,,,,,,,,,,,,,
Decode,97,addi,19,0,,5,5,,-1,,,,,,,,
Execute,98,addi,19,0,,5,5,,-1,,1,,,,,,
Memory,99,addi,19,0,,5,5,,-1,,,,,,,,
Write Back,100,addi,19,0,,5,5,,-1,1,,,,,,0,
Fetch,101,,,,,,,,,,,,,,,,
Decode,102,bne,99,1,,,5,0,64,,,,,,,,1
Execute,103,bne,99,1,,,5,0,64,,0,,,,,,
Memory,104,bne,99,1,,,5,0,64,,,,,,,,
Write Back,105,bne,99,1,,,5,0,64,,,,,,,,
Fetch,106,,,,,,,,,,,,,,,,
Decode,107,lw,3,2,,6,7,,0,,,,,,,,
Execute,108,lw,3,2,,6,7,,0,,1,,,,,,
Memory,109,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,110,lw,3,2,,6,7,,0,1,,,,,,1,
Fetch,111,,,,,,,,,,,,,,,,
Decode,112,addi,19,0,,6,6,,1,,,,,,,,
Execute,113,addi,19,0,,6,6,,1,,1,,,,,,
Memory,114,addi,19,0,,6,6,,1,,,,,,,,
Write Back,115,addi,19,0,,6,6,,1,1,,,,,,0,
Fetch,116,,,,,,,,,,,,,,,,
Decode,117,sw,35,2,,,7,6,0,,,,,,,,
Execute,118,sw,35,2,,,7,6,0,,1,,,,,,
Memory,119,sw,35,2,,,7,6,0,,,,,,1,,
Write Back,120,sw,35,2,,,7,6,0,,,,,,,,
Fetch,121,,,,,,,,,,,,,,,,
Decode,122,addi,19,0,,7,7,,4,,,,,,,,
Execute,123,addi,19,0,,7,7,,4,,1,,,,,,
Memory,124,addi,19,0,,7,7,,4,,,,,,,,
Write Back,125,addi,19,0,,7,7,,4,1,,,,,,0,
Fetch,126,,,,,,,,,,,,,,,,
Decode,127,addi,19,0,,5,5,,-1,,,,,,,,
Execute,128,addi,19,0,,5,5,,-1,,1,,,,,,
Memory,129,addi,19,0,,5,5,,-1,,,,,,,,
Write Back,130,addi,19,0,,5,5,,-1,1,,,,,,0,
Fetch,131,,,,,,,,,,,,,,,,
Decode,132,bne,99,1,,,5,0,64,,,,,,,,1
Execute,133,bne,99,1,,,5,0,64,,0,,,,,,
Memory,134,bne,99,1,,,5,0,64,,,,,,,,
Write Back,135,bne,99,1,,,5,0,64,,,,,,,,
